# БНБ „Кредитна динамика“ — тримесечни кредитни салда (seed за дългата памет)
# Източник: Българска народна банка, публикация „Кредитна динамика“,
#   лист PUB_Q_DYN_CRED_TYPE (кредити по вид, „хил. евро“).
# Суров файл: data/manual/raw/cred_q_dyn_type_eur_bg_2026-07-25.xlsx
#   доставен от Цветослав на 25.07.2026; оригиналът остава комитнат в репото,
#   за да е проверимо всяко число point-in-time.
# Извлечено на: 2026-07-26 със scripts/extract_bnb_seed.py
# Дефиниции:
#   NFC = „Нефинансови предприятия“ (ЕЦБ BSI counterpart 2240)
#   HH = „Домакинства и НТООД“ (ЕЦБ BSI counterpart 2250 — същата дефиниция)
#   „Финансови предприятия“ е ОТДЕЛНА секция в листа и НЕ влиза.
# Колони:
#   date       = последният месец на тримесечието, първо число (2005-12-01)
#   value_meur = млн. EUR (суровината е хил. EUR, делено на 1000)
# Този файл НЕ се обновява седмично — ЕЦБ BSI поема напред. Нов екстракт
# се прави само при ревизия на историята от БНБ.
date,series,value_meur
2005-12-01,HH,3542.145
2006-03-01,HH,3638.380
2006-06-01,HH,4031.015
2006-09-01,HH,4218.671
2006-12-01,HH,4624.411
2007-03-01,HH,5004.968
2007-06-01,HH,5588.744
2007-09-01,HH,6257.808
2007-12-01,HH,7045.231
2008-03-01,HH,7487.087
2008-06-01,HH,8324.793
2008-09-01,HH,8992.349
2008-12-01,HH,9251.101
2009-03-01,HH,9337.489
2009-06-01,HH,9407.472
2009-09-01,HH,9648.055
2009-12-01,HH,9787.179
2010-03-01,HH,9746.039
2010-06-01,HH,9753.096
2010-09-01,HH,9721.108
2010-12-01,HH,9707.926
2011-03-01,HH,9677.557
2011-06-01,HH,9704.360
2011-09-01,HH,9706.946
2011-12-01,HH,9664.521
2012-03-01,HH,9580.015
2012-06-01,HH,9591.524
2012-09-01,HH,9553.121
2012-12-01,HH,9570.009
2013-03-01,HH,9455.099
2013-06-01,HH,9503.671
2013-09-01,HH,9495.300
2013-12-01,HH,9554.437
2014-03-01,HH,9487.865
2014-06-01,HH,9532.839
2014-09-01,HH,9506.808
2014-12-01,HH,9399.340
2015-03-01,HH,9317.957
2015-06-01,HH,9360.056
2015-09-01,HH,9376.815
2015-12-01,HH,9275.783
2016-03-01,HH,9178.049
2016-06-01,HH,9292.948
2016-09-01,HH,9419.384
2016-12-01,HH,9463.447
2017-03-01,HH,9603.313
2017-06-01,HH,9849.687
2017-09-01,HH,9982.070
2017-12-01,HH,10036.068
2018-03-01,HH,10213.168
2018-06-01,HH,10754.080
2018-09-01,HH,10951.434
2018-12-01,HH,11161.139
2019-03-01,HH,11335.088
2019-06-01,HH,11627.338
2019-09-01,HH,11952.855
2019-12-01,HH,12223.915
2020-03-01,HH,12455.428
2020-06-01,HH,12556.654
2020-09-01,HH,12853.708
2020-12-01,HH,13034.251
2021-03-01,HH,13337.121
2021-06-01,HH,13862.040
2021-09-01,HH,14364.380
2021-12-01,HH,14780.386
2022-03-01,HH,15219.000
2022-06-01,HH,15906.725
2022-09-01,HH,16555.936
2022-12-01,HH,16937.640
2023-03-01,HH,17435.016
2023-06-01,HH,18141.142
2023-09-01,HH,18877.211
2023-12-01,HH,19631.793
2024-03-01,HH,20488.002
2024-06-01,HH,21587.404
2024-09-01,HH,22694.845
2024-12-01,HH,23710.756
2025-03-01,HH,24732.296
2025-06-01,HH,26077.617
2025-09-01,HH,27443.830
2025-12-01,HH,28703.383
2026-03-01,HH,29866.435
2005-12-01,NFC,5676.072
2006-03-01,NFC,5713.404
2006-06-01,NFC,5919.512
2006-09-01,NFC,6249.877
2006-12-01,NFC,6777.072
2007-03-01,NFC,7789.301
2007-06-01,NFC,9157.753
2007-09-01,NFC,10174.766
2007-12-01,NFC,11685.854
2008-03-01,NFC,12524.218
2008-06-01,NFC,14172.257
2008-09-01,NFC,15243.479
2008-12-01,NFC,15468.760
2009-03-01,NFC,15558.037
2009-06-01,NFC,15580.195
2009-09-01,NFC,15756.739
2009-12-01,NFC,15818.219
2010-03-01,NFC,15724.761
2010-06-01,NFC,15771.925
2010-09-01,NFC,16031.355
2010-12-01,NFC,16210.338
2011-03-01,NFC,16200.501
2011-06-01,NFC,16429.419
2011-09-01,NFC,16706.967
2011-12-01,NFC,17093.451
2012-03-01,NFC,17104.293
2012-06-01,NFC,17519.340
2012-09-01,NFC,17705.469
2012-12-01,NFC,17941.822
2013-03-01,NFC,17851.082
2013-06-01,NFC,17874.850
2013-09-01,NFC,17950.113
2013-12-01,NFC,17964.487
2014-03-01,NFC,18166.759
2014-06-01,NFC,18426.273
2014-09-01,NFC,18485.365
2014-12-01,NFC,15902.708
2015-03-01,NFC,15827.011
2015-06-01,NFC,15818.751
2015-09-01,NFC,15860.975
2015-12-01,NFC,15652.984
2016-03-01,NFC,15431.693
2016-06-01,NFC,15595.361
2016-09-01,NFC,15663.956
2016-12-01,NFC,15680.076
2017-03-01,NFC,15786.926
2017-06-01,NFC,15869.214
2017-09-01,NFC,16108.217
2017-12-01,NFC,15952.165
2018-03-01,NFC,16192.555
2018-06-01,NFC,16498.714
2018-09-01,NFC,16759.245
2018-12-01,NFC,16826.646
2019-03-01,NFC,17060.101
2019-06-01,NFC,17298.304
2019-09-01,NFC,17618.835
2019-12-01,NFC,17853.626
2020-03-01,NFC,17985.344
2020-06-01,NFC,17798.128
2020-09-01,NFC,17988.244
2020-12-01,NFC,18412.172
2021-03-01,NFC,18472.159
2021-06-01,NFC,18351.062
2021-09-01,NFC,18713.499
2021-12-01,NFC,19242.901
2022-03-01,NFC,19932.967
2022-06-01,NFC,20282.282
2022-09-01,NFC,20840.143
2022-12-01,NFC,21244.300
2023-03-01,NFC,21507.111
2023-06-01,NFC,21998.536
2023-09-01,NFC,22336.211
2023-12-01,NFC,22853.752
2024-03-01,NFC,23319.837
2024-06-01,NFC,23906.048
2024-09-01,NFC,24211.663
2024-12-01,NFC,25106.904
2025-03-01,NFC,25565.157
2025-06-01,NFC,25975.688
2025-09-01,NFC,26481.982
2025-12-01,NFC,27592.758
2026-03-01,NFC,28520.138
